collection,max_timestamp,subCommodityCode,subCommodityName,database_name,variations,object_id,changeStreamEvent
subcommodity_dqa_changestream,2024-11-21 19:25:18 UTC,61092,CARROTS BAGGED ORGANIC,PROD_SB,"[{'variationType': 'Package Size', 'variationName': '5 lb Bag', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f938_1732217118,"{'operationType': 'replace', 'timestamp': Timestamp(1732217118, 3), 'readableTimestamp': '2024-11-21 19:25:18 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f938')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-11 12:10:19 UTC,98035,STRAWBERRIES,PROD_SB,"[{'variationType': 'Package Size', 'variationName': '2 lb Clamshell', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f91b_1733919019,"{'operationType': 'replace', 'timestamp': Timestamp(1733919019, 3), 'readableTimestamp': '2024-12-11 12:10:19 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f91b')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 21:03:53 UTC,98154,POTATOES SWEET & YAMS,PROD_SB,"[{'variationType': 'Package Size', 'variationName': '8 oz Microwaveable', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f725_1732568633,"{'operationType': 'replace', 'timestamp': Timestamp(1732568633, 2), 'readableTimestamp': '2024-11-25 21:03:53 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f725')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-21 19:25:18 UTC,61092,CARROTS BAGGED ORGANIC,PROD_SB,"[{'variationType': 'Package Size', 'variationName': '1 lb Bag', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f93b_1732217118,"{'operationType': 'replace', 'timestamp': Timestamp(1732217118, 12), 'readableTimestamp': '2024-11-21 19:25:18 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f93b')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 19:26:13 UTC,98016,BLUEBERRIES,PROD_SB,,subcommodity_dqa_671a80248d26a628ef13f910_1732562773,"{'operationType': 'replace', 'timestamp': Timestamp(1732562773, 1), 'readableTimestamp': '2024-11-25 19:26:13 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f910')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:05:51 UTC,98002,Grapefruit,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'Texas', 'dqaHelperChecked': False, 'secondaryVariationType': 'Package Size', 'secondaryVariationName': '5 lb Bag', 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f948_1732294954,"{'operationType': 'replace', 'timestamp': Timestamp(1732294954, 1), 'readableTimestamp': '2024-11-22 17:02:34 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f948')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-04 15:35:28 UTC,98090,PINEAPPLE WEDGE/SLICED/CHUNKS PREPACK,PROD_SB,,subcommodity_dqa_671a80248d26a628ef13f804_1733326528,"{'operationType': 'delete', 'timestamp': Timestamp(1733326528, 1), 'readableTimestamp': '2024-12-04 15:35:28 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f804')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-04 15:43:24 UTC,86401,JUICE BAR JUICE DINE IN,PROD_SB,,subcommodity_dqa_671a80248d26a628ef13f6bf_1733327004,"{'operationType': 'delete', 'timestamp': Timestamp(1733327004, 1), 'readableTimestamp': '2024-12-04 15:43:24 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f6bf')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 20:39:55 UTC,98151,POTATOES RUSSET (BULK & BAG),PROD_SB,"[{'variationType': 'Package Size', 'variationName': '4 Count Tray', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f729_1732567195,"{'operationType': 'replace', 'timestamp': Timestamp(1732567195, 2), 'readableTimestamp': '2024-11-25 20:39:55 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f729')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-04 15:19:06 UTC,40801,FRESH KITCHENS GRAPES,PROD_SB,,subcommodity_dqa_671a80248d26a628ef13f6a6_1733325546,"{'operationType': 'delete', 'timestamp': Timestamp(1733325546, 5), 'readableTimestamp': '2024-12-04 15:19:06 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f6a6')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 20:15:07 UTC,63206,POTATOES SWEET ORGANIC,PROD_SB,"[{'variationType': 'Package Size', 'variationName': '3 lb Bag', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f720_1732565707,"{'operationType': 'replace', 'timestamp': Timestamp(1732565707, 7), 'readableTimestamp': '2024-11-25 20:15:07 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f720')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 21:05:52 UTC,60210,GRAPEFRUIT ORGANIC,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'California', 'dqaHelperChecked': False, 'secondaryVariationType': 'Package Size', 'secondaryVariationName': 'Other', 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f954_1732309552,"{'operationType': 'replace', 'timestamp': Timestamp(1732309552, 3), 'readableTimestamp': '2024-11-22 21:05:52 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f954')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 20:39:55 UTC,98151,POTATOES RUSSET (BULK & BAG),PROD_SB,"[{'variationType': 'Package Size', 'variationName': '5 lb Idaho Bag', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f730_1732567195,"{'operationType': 'replace', 'timestamp': Timestamp(1732567195, 5), 'readableTimestamp': '2024-11-25 20:39:55 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f730')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:02:35 UTC,98002,Grapefruit,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'Pummelo', 'dqaHelperChecked': False, 'secondaryVariationType': 'Package Size', 'secondaryVariationName': 'Bulk', 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671ffa214ef8dc5639274f81_1732294955,"{'operationType': 'replace', 'timestamp': Timestamp(1732294955, 5), 'readableTimestamp': '2024-11-22 17:02:35 UTC', 'documentKey': {'_id': ObjectId('671ffa214ef8dc5639274f81')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:02:35 UTC,98002,Grapefruit,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'FLORIDA', 'dqaHelperChecked': False, 'secondaryVariationType': 'Package Size', 'secondaryVariationName': 'Bulk', 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f950_1732294955,"{'operationType': 'replace', 'timestamp': Timestamp(1732294955, 3), 'readableTimestamp': '2024-11-22 17:02:35 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f950')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:13:24 UTC,60213,ORANGES NAVELS ALL ORGANIC,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'Arizona', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f930_1732295604,"{'operationType': 'replace', 'timestamp': Timestamp(1732295604, 4), 'readableTimestamp': '2024-11-22 17:13:24 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f930')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:10:29 UTC,98013,ORANGES NAVELS ALL,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'Florida', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f968_1732295429,"{'operationType': 'replace', 'timestamp': Timestamp(1732295429, 2), 'readableTimestamp': '2024-11-22 17:10:29 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f968')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-21 19:25:18 UTC,61092,CARROTS BAGGED ORGANIC,PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Other', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f93a_1732217118,"{'operationType': 'replace', 'timestamp': Timestamp(1732217118, 9), 'readableTimestamp': '2024-11-21 19:25:18 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f93a')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:05:51 UTC,98002,Grapefruit,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'Texas', 'dqaHelperChecked': False, 'secondaryVariationType': 'Package Size', 'secondaryVariationName': 'Other', 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f94b_1732294954,"{'operationType': 'replace', 'timestamp': Timestamp(1732294954, 4), 'readableTimestamp': '2024-11-22 17:02:34 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f94b')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:13:24 UTC,60213,ORANGES NAVELS ALL ORGANIC,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'CALIFORNIA', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f92f_1732295604,"{'operationType': 'replace', 'timestamp': Timestamp(1732295604, 3), 'readableTimestamp': '2024-11-22 17:13:24 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f92f')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-04 15:35:44 UTC,63901,PARFAIT CUPS INSTORE,PROD_SB,,subcommodity_dqa_671a80248d26a628ef13f6e1_1733326544,"{'operationType': 'delete', 'timestamp': Timestamp(1733326544, 8), 'readableTimestamp': '2024-12-04 15:35:44 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f6e1')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 21:09:07 UTC,98155,POTATOES WHITE (BULK & BAG),PROD_SB,"[{'variationType': 'Package Size', 'variationName': '5 lb Bag', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f964_1732568947,"{'operationType': 'replace', 'timestamp': Timestamp(1732568947, 3), 'readableTimestamp': '2024-11-25 21:09:07 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f964')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-04 15:36:22 UTC,98189,MELONS INSTORE CUT,PROD_SB,,subcommodity_dqa_671a80248d26a628ef13f6e5_1733326582,"{'operationType': 'delete', 'timestamp': Timestamp(1733326582, 1), 'readableTimestamp': '2024-12-04 15:36:22 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f6e5')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-10 21:12:59 UTC,60016,APPLES COSMIC CRISP,PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Bulk', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f770_1733865179,"{'operationType': 'replace', 'timestamp': Timestamp(1733865179, 23), 'readableTimestamp': '2024-12-10 21:12:59 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f770')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 21:09:07 UTC,98155,POTATOES WHITE (BULK & BAG),PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Other', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f960_1732568947,"{'operationType': 'replace', 'timestamp': Timestamp(1732568947, 2), 'readableTimestamp': '2024-11-25 21:09:07 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f960')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-11 12:10:19 UTC,98035,STRAWBERRIES,PROD_SB,"[{'variationType': 'Package Size', 'variationName': '1 lb Clamshell', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f91c_1733919019,"{'operationType': 'replace', 'timestamp': Timestamp(1733919019, 4), 'readableTimestamp': '2024-12-11 12:10:19 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f91c')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 20:15:07 UTC,63206,POTATOES SWEET ORGANIC,PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Other', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f736_1732565707,"{'operationType': 'replace', 'timestamp': Timestamp(1732565707, 10), 'readableTimestamp': '2024-11-25 20:15:07 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f736')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 21:13:16 UTC,98451,POTATOES GOURMET,PROD_SB,"[{'variationType': 'Varietal', 'variationName': 'Microwave', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f83f_1732569196,"{'operationType': 'replace', 'timestamp': Timestamp(1732569196, 762), 'readableTimestamp': '2024-11-25 21:13:16 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f83f')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 19:51:35 UTC,61801,POTATOES RUSSET (BULK & BAG) ORGANIC,PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Other', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f727_1732564295,"{'operationType': 'replace', 'timestamp': Timestamp(1732564295, 2), 'readableTimestamp': '2024-11-25 19:51:35 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f727')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 20:48:34 UTC,98152,POTATOES RED (BULK & BAG),PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Size A', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f963_1732129482,"{'operationType': 'replace', 'timestamp': Timestamp(1732129482, 15), 'readableTimestamp': '2024-11-20 19:04:42 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f963')}, 'clientInfo': {}, 'updateDescription': {}}"
