collection,max_timestamp,utc_timestamp,subCommodityCode,subCommodityName,database_name,variations,object_id,changeStreamEvent
subcommodity_dqa_changestream,1731526600,2024-11-13 13:36:40,60601,MANGO ORGANIC,PROD_SB,,671a80248d26a628ef13f874_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 188), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': 'false', 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526600,2024-11-13 13:36:40,98017,MANGO,PROD_SB,,671a80248d26a628ef13f85d_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 165), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': 'false', 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60214,LIMES ORGANIC,PROD_SB,,671a80248d26a628ef13f7e9_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 147), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60214,LIMES ORGANIC,PROD_SB,,671a80248d26a628ef13f7ea_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 148), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60014,APPLES ENVY,PROD_SB,,671a80248d26a628ef13f7ac_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 124), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526600,2024-11-13 13:36:40,98017,MANGO,PROD_SB,,671a80248d26a628ef13f860_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 168), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': 'false', 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,61701,TOMATOES GRAPE ORGANIC,PROD_SB,,671a80248d26a628ef13f78b_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 99), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98092,TOMATOES FIELD SNACKING,PROD_SB,,671a80248d26a628ef13f7a3_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 116), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60001,APPLES GALA ORGANIC (BULK & BAG),PROD_SB,,671a80248d26a628ef13f755_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 48), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,59801,CABBAGE ORGANIC,PROD_SB,,671a80248d26a628ef13f889_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 207), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
